procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11 18      0 412771456 352256 42764456    0    0 658140     0 33267 24686 17  9 49 25  0
11 20      0 409784512 352256 43146392    0    0 654860     0 31405 24148 14  9 49 28  0
10 19      0 406346112 352256 43623980    0    0 680128     0 34418 26913 16 10 49 26  0
20  9      0 404745600 352252 44028080    0    0 680712     0 32091 23946 15 10 49 26  0
11 20      0 403711648 352252 44418172    0    0 695984    44 32244 25156 15  9 49 27  0
13 20      0 401971264 352252 44825064    0    0 698180     0 32140 25468 14 10 49 27  0
 8 21      0 397634720 352252 45185280    0    0 684328     0 32446 24748 15 10 49 27  0
 7 24      0 394230048 352252 45496312    0    0 684840     0 33879 24701 17 10 49 25  0
10 21      0 391985248 352252 45727560    0    0 682992     0 31501 23820 14  8 48 29  0
 9 21      0 389079584 352252 46144436    0    0 666760     0 33781 27678 12  9 49 30  0
10 20      0 386812672 352252 46531856    0    0 649316    44 32934 26507 13  8 49 30  0
 9 20      0 384766336 352252 46856964    0    0 640168     0 32628 26547 12  8 49 31  0
 9 20      0 381818048 352248 47236460    0    0 636404     0 33068 27098 12  9 48 31  0
10 19      0 381978336 352248 47687544    0    0 636760     0 34087 27768 11  9 49 31  0
 9 19      0 378841024 352244 48017944    0    0 633060    12 31416 25195 13  9 49 30  0
 8 18      0 375117312 352248 48404804    0    0 618300     0 32616 26532 13  8 49 30  0
20  9      0 372001152 352252 48758488    0    0 581824    32 36234 27830 15  8 49 28  0
15 13      0 369497760 352252 49119612    0    0 561864     0 36865 24851 20  9 49 22  0
14 12      0 366666720 352252 49649720    0    0 571364     0 35784 27063 17  9 50 24  0
18  7      0 364363360 352248 49944528    0    0 590416     0 33592 22578 17  8 50 25  0
11 13      0 361932480 352248 50273976    0    0 582100     0 32540 21138 19  9 51 21  0
13 12      0 361109184 352256 50669068    0    0 570060    44 30810 22201 16  9 53 22  0
12 13      0 359684448 352256 51041000    0    0 599316     0 30308 22404 15  9 51 25  0
21  6      0 355367648 352256 51441488    0    0 628832     0 32233 23018 16 10 49 25  0
11 16      0 351780896 352260 51926500    0    0 617224     0 33774 25096 16 10 49 25  0
 8 18      0 349173504 352260 52254048    0    0 611160     0 32925 24264 15  9 49 27  0
 9 17      0 346479936 352264 52635508    0    0 611876    44 37117 26034 13  9 48 30  0
10 16      0 344678272 352268 53108804    0    0 596720     0 45776 26057 12 10 47 32  0
10 18      0 343807232 352268 53442808    0    0 601032     0 39453 24401 13 11 48 28  0
 9 19      0 342687520 352268 53838156    0    0 624664     0 41390 23758 17 12 48 24  0
13 14      0 342195008 352268 54186384    0    0 611564     0 44150 23824 17 14 48 22  0
21  7      0 340932480 352268 54608192    0    0 606276     0 39709 26805 13 12 49 26  0
10 15      0 337222272 352268 54956896    0    0 606364     0 44342 23049 13 14 47 26  0
16 12      0 335570336 352276 55233700    0    0 621648    44 47625 22011 15 16 46 23  0
10 17      0 333091136 352276 55580272    0    0 591844     0 37271 23095 13 14 49 24  0
12 17      0 330721696 352276 55856716    0    0 617728     0 43494 21669 10 17 46 27  0
10 18      0 329381184 352276 56046500    0    0 626492     0 42666 19672  9 15 46 30  0
12 16      0 327042912 352272 56295912    0    0 608232     0 39489 19564  9 17 46 28  0
11 14      0 325368192 352272 56528224    0    0 603696     0 34814 19503  9 15 48 28  0
13 12      0 326116928 352276 56824768    0    0 591084    44 37159 20973  9 16 48 27  0
10 13      0 324992512 352276 57164720    0    0 584568     0 37940 19749  9 15 50 25  0
19  3      0 320957792 352276 57389996    0    0 562308     0 33826 19491  9 14 54 23  0
 9 11      0 318867424 352276 57637768    0    0 547464     0 40487 18932 10 17 53 20  0
17  7      0 316983872 352276 57908388    0    0 541592     0 35809 21153 11 14 54 21  0
11 13      0 315170080 352308 57951292    0    0 534716     0 49174 40786 12 15 51 22  0
 9 15      0 316716736 352308 55562988    0    0 564440     0 60069 55248  6 16 53 24  0
35 10      0 322744864 352308 48571200    0    0 521068     0 63177 47987  7 49 26 18  0
12  8      0 325790944 352312 45204460    0    0 528940    44 70242 48811 11 34 40 14  0
